time,x,y,z
20160805 16:41:11.863994,0,228293,228293,228293
20160805 16:41:11.871806,0,228294,228294,228294
20160805 16:41:11.879618,0,228295,228295,228295
20160805 16:41:11.887431,0,228296,228296,228296
20160805 16:41:11.895244,0,228297,228297,228297
20160805 16:41:11.903056,0,228298,228298,228298
20160805 16:41:11.910868,0,228299,228299,228299
20160805 16:41:11.918681,0,228300,228300,228300
20160805 16:41:11.926494,0,228301,228301,228301
20160805 16:41:11.934306,0,228302,228302,228302
20160805 16:41:11.942118,0,228303,228303,228303
20160805 16:41:11.949931,0,228304,228304,228304
20160805 16:41:11.957744,0,228305,228305,228305
20160805 16:41:11.965556,0,228306,228306,228306
20160805 16:41:11.973368,0,228307,228307,228307
20160805 16:41:11.981181,0,228308,228308,228308
20160805 16:41:11.988994,0,228309,228309,228309
20160805 16:41:11.996806,0,228310,228310,228310
20160805 16:41:12.004618,0,228311,228311,228311
20160805 16:41:12.012431,0,228312,228312,228312
20160805 16:41:12.020244,0,228313,228313,228313
20160805 16:41:12.028056,0,228314,228314,228314
20160805 16:41:12.035868,0,228315,228315,228315
20160805 16:41:12.043681,0,228316,228316,228316
20160805 16:41:12.051494,0,228317,228317,228317
20160805 16:41:12.059306,0,228318,228318,228318
20160805 16:41:12.067118,0,228319,228319,228319
20160805 16:41:12.074931,0,228320,228320,228320
20160805 16:41:12.082744,0,228321,228321,228321
20160805 16:41:12.090556,0,228322,228322,228322
20160805 16:41:12.098368,0,228323,228323,228323
20160805 16:41:12.106181,0,228324,228324,228324
20160805 16:41:12.113994,0,228325,228325,228325
20160805 16:41:12.121806,0,228326,228326,228326
20160805 16:41:12.129618,0,228327,228327,228327
20160805 16:41:12.137431,0,228328,228328,228328
20160805 16:41:12.145244,0,228329,228329,228329
20160805 16:41:12.153056,0,228330,228330,228330
20160805 16:41:12.160868,0,228331,228331,228331
20160805 16:41:12.168681,0,228332,228332,228332
20160805 16:41:12.176494,0,228333,228333,228333
20160805 16:41:12.184306,0,228334,228334,228334
20160805 16:41:12.192118,0,228335,228335,228335
20160805 16:41:12.199931,0,228336,228336,228336
20160805 16:41:12.207744,0,228337,228337,228337
20160805 16:41:12.215556,0,228338,228338,228338
20160805 16:41:12.223368,0,228339,228339,228339
20160805 16:41:12.231181,0,228340,228340,228340
20160805 16:41:12.238994,0,228341,228341,228341
20160805 16:41:12.246806,0,228342,228342,228342
20160805 16:41:12.254618,0,228343,228343,228343
20160805 16:41:12.262431,0,228344,228344,228344
20160805 16:41:12.270244,0,228345,228345,228345
20160805 16:41:12.278056,0,228346,228346,228346
20160805 16:41:12.285868,0,228347,228347,228347
20160805 16:41:12.293681,0,228348,228348,228348
20160805 16:41:12.301494,0,228349,228349,228349
20160805 16:41:12.309306,0,228350,228350,228350
20160805 16:41:12.317118,0,228351,228351,228351
20160805 16:41:12.324931,0,228352,228352,228352
20160805 16:41:12.332744,0,228353,228353,228353
20160805 16:41:12.340556,0,228354,228354,228354
20160805 16:41:12.348368,0,228355,228355,228355
20160805 16:41:12.356181,0,228356,228356,228356
20160805 16:41:12.363994,0,228357,228357,228357
20160805 16:41:12.371806,0,228358,228358,228358
20160805 16:41:12.379618,0,228359,228359,228359
20160805 16:41:12.387431,0,228360,228360,228360
20160805 16:41:12.395244,0,228361,228361,228361
20160805 16:41:12.403056,0,228362,228362,228362
20160805 16:41:12.410868,0,228363,228363,228363
20160805 16:41:12.418681,0,228364,228364,228364
20160805 16:41:12.426494,0,228365,228365,228365
20160805 16:41:12.434306,0,228366,228366,228366
20160805 16:41:12.442118,0,228367,228367,228367
20160805 16:41:12.449931,0,228368,228368,228368
20160805 16:41:12.457744,0,228369,228369,228369
20160805 16:41:12.465556,0,228370,228370,228370
20160805 16:41:12.473368,0,228371,228371,228371
20160805 16:41:12.481181,0,228372,228372,228372
20160805 16:41:12.488994,0,228373,228373,228373
20160805 16:41:12.496806,0,228374,228374,228374
20160805 16:41:12.504618,0,228375,228375,228375
20160805 16:41:12.512431,0,228376,228376,228376
20160805 16:41:12.520244,0,228377,228377,228377
20160805 16:41:12.528056,0,228378,228378,228378
20160805 16:41:12.535868,0,228379,228379,228379
20160805 16:41:12.543681,0,228380,228380,228380
20160805 16:41:12.551494,0,228381,228381,228381
20160805 16:41:12.559306,0,228382,228382,228382
20160805 16:41:12.567118,0,228383,228383,228383
20160805 16:41:12.574931,0,228384,228384,228384
20160805 16:41:12.582744,0,228385,228385,228385
20160805 16:41:12.590556,0,228386,228386,228386
20160805 16:41:12.598368,0,228387,228387,228387
20160805 16:41:12.606181,0,228388,228388,228388
20160805 16:41:12.613994,0,228389,228389,228389
20160805 16:41:12.621806,0,228390,228390,228390
20160805 16:41:12.629618,0,228391,228391,228391
20160805 16:41:12.637431,0,228392,228392,228392
20160805 16:41:12.645244,0,228393,228393,228393
20160805 16:41:12.653056,0,228394,228394,228394
20160805 16:41:12.660868,0,228395,228395,228395
